iter	Passed	Remaining
687	46312	21001
688	46381	20935
689	46456	20871
690	46523	20804
691	46598	20740
692	46666	20673
693	46735	20606
694	46803	20539
695	46870	20472
696	46940	20405
697	47013	20341
698	47080	20273
699	47157	20210
700	47231	20145
701	47307	20081
702	47374	20014
703	47447	19949
704	47524	19885
705	47593	19819
706	47677	19758
707	47751	19694
708	47825	19629
709	47894	19562
710	47966	19496
711	48034	19429
712	48114	19367
713	48189	19302
714	48268	19240
715	48344	19175
716	48418	19110
717	48496	19047
718	48582	18987
719	48661	18923
720	48728	18855
721	48798	18789
722	48871	18724
723	48945	18658
724	49008	18589
725	49072	18520
726	49142	18453
727	49217	18389
728	49289	18322
729	49362	18257
730	49424	18187
731	49510	18126
732	49599	18067
733	49677	18002
734	49753	17938
735	49822	17871
736	49887	17802
737	49956	17735
738	50036	17671
739	50107	17605
740	50182	17540
741	50328	17499
742	50423	17441
743	50521	17383
744	50646	17335
745	50773	17287
746	50864	17227
747	50950	17165
748	51038	17103
749	51126	17042
750	51223	16983
751	51302	16918
752	51374	16851
753	51450	16786
754	51532	16722
755	51619	16660
756	51698	16595
757	51780	16531
758	51867	16469
759	51963	16409
760	52037	16342
761	52159	16291
762	52254	16231
763	52341	16168
764	52426	16104
765	52499	16037
766	52582	15973
767	52657	15906
768	52735	15841
769	52812	15775
770	52891	15709
771	52968	15643
772	53047	15577
773	53127	15512
774	53211	15448
775	53292	15383
776	53369	15317
777	53454	15252
778	53527	15185
779	53607	15120
780	53682	15053
781	53763	14987
782	53860	14926
783	53937	14860
784	54012	14793
785	54094	14727
786	54176	14662
787	54257	14597
788	54340	14532
789	54426	14467
790	54503	14401
791	54578	14333
792	54666	14269
793	54740	14202
794	54821	14136
795	54895	14068
796	54969	14001
797	55045	13933
798	55135	13870
799	55216	13804
800	55295	13737
801	55378	13672
802	55463	13606
803	55550	13542
804	55639	13477
805	55715	13410
806	55794	13343
807	55864	13274
808	55939	13206
809	56106	13160
810	56203	13097
811	56279	13030
812	56353	12962
813	56434	12895
814	56509	12827
815	56592	12760
816	56670	12693
817	56754	12627
818	56824	12558
819	56903	12490
820	56977	12422
821	57059	12356
822	57130	12286
823	57222	12222
824	57303	12155
825	57385	12088
826	57469	12021
827	57540	11952
828	57615	11884
829	57696	11817
830	57772	11749
831	57855	11682
832	57934	11614
833	58027	11549
834	58112	11483
835	58197	11416
836	58274	11348
837	58362	11282
838	58436	11213
839	58514	11145
840	58602	11079
841	58688	11012
842	58763	10944
843	58838	10875
844	58910	10806
845	58994	10738
846	59069	10670
847	59148	10602
848	59231	10534
849	59305	10465
850	59380	10396
851	59454	10327
852	59533	10259
853	59608	10190
854	59686	10122
855	59763	10053
856	59838	9984
857	59914	9916
858	59991	9847
859	60063	9777
860	60141	9709
861	60222	9641
862	60295	9571
863	60375	9503
864	60452	9434
865	60534	9366
866	60617	9298
867	60686	9228
868	60762	9159
869	60839	9090
870	60917	9022
871	60991	8952
872	61065	8883
873	61145	8815
874	61235	8747
875	61311	8678
876	61387	8609
877	61466	8540
878	61543	8471
879	61624	8403
880	61702	8334
881	61783	8265
882	61865	8197
883	61942	8128
884	62033	8060
885	62108	7991
886	62183	7921
887	62259	7852
888	62331	7782
889	62407	7713
890	62485	7644
891	62556	7574
892	62682	7510
893	62759	7441
894	62843	7372
895	62922	7303
896	62998	7233
897	63071	7164
898	63163	7096
899	63239	7026
900	63319	6957
901	63402	6888
902	63495	6820
903	63575	6751
904	63648	6681
905	63723	6611
906	63797	6541
907	63875	6471
908	63963	6403
909	64038	6333
910	64126	6264
911	64213	6196
912	64289	6126
913	64369	6056
914	64440	5986
915	64514	5916
916	64597	5846
917	64671	5776
918	64747	5706
919	64824	5636
920	64899	5566
921	64974	5496
922	65052	5426
923	65131	5357
924	65209	5287
925	65287	5217
926	65367	5147
927	65445	5077
928	65523	5007
929	65600	4937
930	65670	4867
931	65752	4797
932	65828	4727
933	65903	4657
934	65992	4587
935	66069	4517
936	66154	4447
937	66230	4377
938	66304	4307
939	66379	4237
940	66453	4166
941	66530	4096
942	66614	4026
943	66695	3956
944	66769	3886
945	66845	3815
946	66919	3745
947	66996	3674
948	67075	3604
949	67159	3534
950	67233	3464
951	67305	3393
952	67378	3322
953	67461	3252
954	67543	3182
955	67623	3112
956	67703	3042
957	67781	2971
958	67857	2901
959	67931	2830
960	68011	2760
961	68090	2689
962	68182	2619
